Customer_ID,Name,Age,SSN,Occupation,snapshot_date
CUS_0x1009,Arunah,26,063-67-6938,Mechanic,2025-01-01
CUS_0x1098,Krudyz,23,466-10-5742,_______,2025-01-01
CUS_0x109f,Vellacottj,41,283-32-0255,Teacher,2025-01-01
CUS_0x10b6,Gillesw,49,439-76-5364,Journalist,2025-01-01
CUS_0x10e2,Sonalio,37,168-78-3262,Media_Manager,2025-01-01
CUS_0x114b,Hephero,37,978-19-7269,Entrepreneur,2025-01-01
CUS_0x11b7,Cremern,28,440-53-1294,Teacher,2025-01-01
CUS_0x11c1,Mark Felsenthalk,34,688-99-5258,Engineer,2025-01-01
CUS_0x11d9,Annika Breidthardtd,42,548-26-8600,Scientist,2025-01-01
CUS_0x120d,Martinx,27,477-68-6707,Lawyer,2025-01-01
CUS_0x1258,Flynng,50,673-09-0668,Entrepreneur,2025-01-01
CUS_0x130c,Douwe Miedemaq,43,187-00-5211,Engineer,2025-01-01
CUS_0x133d,Taigai,21,#F%$D@*&8,Musician,2025-01-01
CUS_0x133f,ernie Woodallm,30,630-81-5640,Manager,2025-01-01
CUS_0x13e4,Edward Krudyl,1248_,652-14-9122,Doctor,2025-01-01
CUS_0x1463,Rachnae,50,239-41-8144,Media_Manager,2025-01-01
CUS_0x1499,Guptaj,50,440-22-8350,Engineer,2025-01-01
CUS_0x15c5,Jensent,39,680-70-8654,Doctor,2025-01-01
CUS_0x165f,Robertw,37,962-16-3321,Writer,2025-01-01
CUS_0x1697,Pauls,42,044-06-1094,Musician,2025-01-01
CUS_0x16ae,Pascalz,40,567-87-6871,Musician,2025-01-01
CUS_0x1705,Sruthiy,47,176-22-5639,Media_Manager,2025-01-01
CUS_0x1806,Vorobyovai,56,167-18-8944,Manager,2025-01-01
CUS_0x18b5,Caroline Valetkevitcht,45,732-18-5419,Developer,2025-01-01
CUS_0x18be,Maloneb,37,484-89-8097,Engineer,2025-01-01
CUS_0x19a3,Rigbyl,41,719-96-4265,Lawyer,2025-01-01
CUS_0x1a23,Paige Gancec,51,092-81-2077,Lawyer,2025-01-01
CUS_0x1a86,Matthewh,33,835-36-1985,Entrepreneur,2025-01-01
CUS_0x1be1,Sineadl,15,273-37-7817,Manager,2025-01-01
CUS_0x1c59,Dayz,42,277-13-7658,Doctor,2025-01-01
CUS_0x1cbd,Yeem,25,982-51-6725,_______,2025-01-01
CUS_0x1cbe,Daniloq,25,714-48-4921,Entrepreneur,2025-01-01
CUS_0x1ccd,Andreat,32,808-03-9422,_______,2025-01-01
CUS_0x1de9,Umesh Desaid,26,798-92-6478,Architect,2025-01-01
CUS_0x1deb,Dougc,25,334-90-6536,Entrepreneur,2025-01-01
CUS_0x1f15,Deepa Seetharamanh,19,296-58-9430,Engineer,2025-01-01
CUS_0x1f2f,Wheatleyv,30,926-54-3940,Teacher,2025-01-01
CUS_0x206c,Wroughtonu,36,983-60-4571,Engineer,2025-01-01
CUS_0x20e5,Goldsteind,38,107-23-3924,Manager,2025-01-01
CUS_0x21ac,Ermanz,27,333-78-2654,Developer,2025-01-01
CUS_0x21be,Ransdellx,46,340-80-4117,Musician,2025-01-01
CUS_0x22c1,Vladimir Soldatkinu,34,745-16-2326,Media_Manager,2025-01-01
